model,checkpoint,acc
xiulinyang/GPT2-DE-5k,0,0.6148825065274152
xiulinyang/GPT2-DE-5k,100,0.7406440382941688
xiulinyang/GPT2-DE-5k,200,0.7737162750217581
xiulinyang/GPT2-DE-5k,300,0.7932985204525674
xiulinyang/GPT2-DE-5k,400,0.79852045256745
xiulinyang/GPT2-DE-5k,500,0.7954743255004352
xiulinyang/GPT2-DE-5k,600,0.8059181897302001
xiulinyang/GPT2-DE-5k,700,0.8124456048738034
xiulinyang/GPT2-DE-5k,800,0.8228894691035683
xiulinyang/GPT2-DE-5k,900,0.8228894691035683
xiulinyang/GPT2-DE-5k,1000,0.8289817232375979
xiulinyang/GPT2-DE-5k,1100,0.8333333333333334
xiulinyang/GPT2-DE-5k,1200,0.835509138381201
xiulinyang/GPT2-DE-5k,1300,0.8376849434290687
xiulinyang/GPT2-DE-5k,1400,0.8381201044386423
xiulinyang/GPT2-DE-5k,1500,0.8372497824194952
xiulinyang/GPT2-DE-5k,1600,0.8289817232375979
xiulinyang/GPT2-DE-5k,1700,0.8424717145343777
xiulinyang/GPT2-DE-5k,1800,0.835509138381201
xiulinyang/GPT2-DE-5k,1900,0.8368146214099217
xiulinyang/GPT2-DE-5k,2000,0.8416013925152306
xiulinyang/GPT2-DE-5k,2100,0.8577023498694517
xiulinyang/GPT2-DE-5k,2200,0.8498694516971279
xiulinyang/GPT2-DE-5k,2300,0.8489991296779809
xiulinyang/GPT2-DE-5k,2400,0.8468233246301131
xiulinyang/GPT2-DE-5k,2500,0.8590078328981723
xiulinyang/GPT2-DE-5k,2600,0.8559617058311575
xiulinyang/GPT2-DE-5k,2700,0.8537859007832899
xiulinyang/GPT2-DE-5k,2800,0.8489991296779809
xiulinyang/GPT2-DE-5k,2900,0.8476936466492603
xiulinyang/GPT2-DE-5k,3000,0.8520452567449956
xiulinyang/GPT2-DE-10k,0,0.5657093124456049
xiulinyang/GPT2-DE-10k,100,0.7493472584856397
xiulinyang/GPT2-DE-10k,200,0.8059181897302001
xiulinyang/GPT2-DE-10k,300,0.7872062663185379
xiulinyang/GPT2-DE-10k,400,0.7876414273281114
xiulinyang/GPT2-DE-10k,500,0.7867711053089643
xiulinyang/GPT2-DE-10k,600,0.8085291557876414
xiulinyang/GPT2-DE-10k,700,0.8120104438642297
xiulinyang/GPT2-DE-10k,800,0.8285465622280244
xiulinyang/GPT2-DE-10k,900,0.8276762402088773
xiulinyang/GPT2-DE-10k,1000,0.8485639686684073
xiulinyang/GPT2-DE-10k,1100,0.8320278503046127
xiulinyang/GPT2-DE-10k,1200,0.8363794604003482
xiulinyang/GPT2-DE-10k,1300,0.8468233246301131
xiulinyang/GPT2-DE-10k,1400,0.8368146214099217
xiulinyang/GPT2-DE-10k,1500,0.8416013925152306
xiulinyang/GPT2-DE-10k,1600,0.8472584856396866
xiulinyang/GPT2-DE-10k,1700,0.8550913838120104
xiulinyang/GPT2-DE-10k,1800,0.8559617058311575
xiulinyang/GPT2-DE-10k,1900,0.8520452567449956
xiulinyang/GPT2-DE-10k,2000,0.8494342906875544
xiulinyang/GPT2-DE-10k,2100,0.8559617058311575
xiulinyang/GPT2-DE-10k,2200,0.8607484769364665
xiulinyang/GPT2-DE-10k,2300,0.8620539599651871
xiulinyang/GPT2-DE-10k,2400,0.8598781549173194
xiulinyang/GPT2-DE-10k,2500,0.8646649260226283
xiulinyang/GPT2-DE-10k,2600,0.8590078328981723
xiulinyang/GPT2-DE-10k,2700,0.8651000870322019
xiulinyang/GPT2-DE-10k,2800,0.8651000870322019
xiulinyang/GPT2-DE-10k,2900,0.8711923411662315
xiulinyang/GPT2-DE-10k,3000,0.8637946040034813
xiulinyang/GPT2-DE-20k,0,0.6114012184508268
xiulinyang/GPT2-DE-20k,100,0.7458659704090513
xiulinyang/GPT2-DE-20k,200,0.7980852915578764
xiulinyang/GPT2-DE-20k,300,0.7950391644908616
xiulinyang/GPT2-DE-20k,400,0.8015665796344648
xiulinyang/GPT2-DE-20k,500,0.7967798085291558
xiulinyang/GPT2-DE-20k,600,0.8176675369886858
xiulinyang/GPT2-DE-20k,700,0.8154917319408181
xiulinyang/GPT2-DE-20k,800,0.8185378590078329
xiulinyang/GPT2-DE-20k,900,0.824194952132289
xiulinyang/GPT2-DE-20k,1000,0.8285465622280244
xiulinyang/GPT2-DE-20k,1100,0.8342036553524804
xiulinyang/GPT2-DE-20k,1200,0.8324630113141862
xiulinyang/GPT2-DE-20k,1300,0.8416013925152306
xiulinyang/GPT2-DE-20k,1400,0.8368146214099217
xiulinyang/GPT2-DE-20k,1500,0.8533507397737162
xiulinyang/GPT2-DE-20k,1600,0.8550913838120104
xiulinyang/GPT2-DE-20k,1700,0.860313315926893
xiulinyang/GPT2-DE-20k,1800,0.8581375108790252
xiulinyang/GPT2-DE-20k,1900,0.8529155787641427
xiulinyang/GPT2-DE-20k,2000,0.86118363794604
xiulinyang/GPT2-DE-20k,2100,0.8581375108790252
xiulinyang/GPT2-DE-20k,2200,0.8577023498694517
xiulinyang/GPT2-DE-20k,2300,0.8624891209747607
xiulinyang/GPT2-DE-20k,2400,0.8694516971279374
xiulinyang/GPT2-DE-20k,2500,0.8633594429939078
xiulinyang/GPT2-DE-20k,2600,0.8694516971279374
xiulinyang/GPT2-DE-20k,2700,0.8777197563098347
xiulinyang/GPT2-DE-20k,2800,0.8738033072236727
xiulinyang/GPT2-DE-20k,2900,0.8729329852045257
xiulinyang/GPT2-DE-20k,3000,0.8785900783289817
xiulinyang/GPT2-DE-30k,0,0.587467362924282
xiulinyang/GPT2-DE-30k,100,0.7558746736292428
xiulinyang/GPT2-DE-30k,200,0.7946040034812881
xiulinyang/GPT2-DE-30k,300,0.8085291557876414
xiulinyang/GPT2-DE-30k,400,0.8015665796344648
xiulinyang/GPT2-DE-30k,500,0.7989556135770235
xiulinyang/GPT2-DE-30k,600,0.8124456048738034
xiulinyang/GPT2-DE-30k,700,0.8333333333333334
xiulinyang/GPT2-DE-30k,800,0.81940818102698
xiulinyang/GPT2-DE-30k,900,0.8459530026109661
xiulinyang/GPT2-DE-30k,1000,0.8298520452567449
xiulinyang/GPT2-DE-30k,1100,0.8363794604003482
xiulinyang/GPT2-DE-30k,1200,0.8520452567449956
xiulinyang/GPT2-DE-30k,1300,0.8511749347258486
xiulinyang/GPT2-DE-30k,1400,0.8624891209747607
xiulinyang/GPT2-DE-30k,1500,0.8620539599651871
xiulinyang/GPT2-DE-30k,1600,0.8550913838120104
xiulinyang/GPT2-DE-30k,1700,0.8537859007832899
xiulinyang/GPT2-DE-30k,1800,0.8485639686684073
xiulinyang/GPT2-DE-30k,1900,0.8698868581375109
xiulinyang/GPT2-DE-30k,2000,0.8746736292428199
xiulinyang/GPT2-DE-30k,2100,0.8681462140992167
xiulinyang/GPT2-DE-30k,2200,0.8629242819843342
xiulinyang/GPT2-DE-30k,2300,0.8677110530896431
xiulinyang/GPT2-DE-30k,2400,0.8651000870322019
xiulinyang/GPT2-DE-30k,2500,0.8616187989556136
xiulinyang/GPT2-DE-30k,2600,0.8672758920800696
xiulinyang/GPT2-DE-30k,2700,0.8655352480417755
xiulinyang/GPT2-DE-30k,2800,0.8751087902523934
xiulinyang/GPT2-DE-30k,2900,0.8703220191470844
xiulinyang/GPT2-DE-30k,3000,0.8668407310704961
xiulinyang/GPT2-DE-50k,0,0.5652741514360313
xiulinyang/GPT2-DE-50k,100,0.7719756309834639
xiulinyang/GPT2-DE-50k,200,0.7963446475195822
xiulinyang/GPT2-DE-50k,300,0.8080939947780679
xiulinyang/GPT2-DE-50k,400,0.8093994778067886
xiulinyang/GPT2-DE-50k,500,0.8220191470844213
xiulinyang/GPT2-DE-50k,600,0.8224543080939948
xiulinyang/GPT2-DE-50k,700,0.8259355961705831
xiulinyang/GPT2-DE-50k,800,0.8259355961705831
xiulinyang/GPT2-DE-50k,900,0.8281114012184508
xiulinyang/GPT2-DE-50k,1000,0.839425587467363
xiulinyang/GPT2-DE-50k,1100,0.8294168842471714
xiulinyang/GPT2-DE-50k,1200,0.8437771975630983
xiulinyang/GPT2-DE-50k,1300,0.8455178416013925
xiulinyang/GPT2-DE-50k,1400,0.8524804177545692
xiulinyang/GPT2-DE-50k,1500,0.8359442993907746
xiulinyang/GPT2-DE-50k,1600,0.8507397737162751
xiulinyang/GPT2-DE-50k,1700,0.8546562228024369
xiulinyang/GPT2-DE-50k,1800,0.8590078328981723
xiulinyang/GPT2-DE-50k,1900,0.856396866840731
xiulinyang/GPT2-DE-50k,2000,0.8646649260226283
xiulinyang/GPT2-DE-50k,2100,0.8724978241949521
xiulinyang/GPT2-DE-50k,2200,0.8711923411662315
xiulinyang/GPT2-DE-50k,2300,0.8685813751087903
xiulinyang/GPT2-DE-50k,2400,0.8637946040034813
xiulinyang/GPT2-DE-50k,2500,0.8655352480417755
xiulinyang/GPT2-DE-50k,2600,0.8637946040034813
xiulinyang/GPT2-DE-50k,2700,0.8655352480417755
xiulinyang/GPT2-DE-50k,2800,0.8720626631853786
xiulinyang/GPT2-DE-50k,2900,0.8733681462140992
xiulinyang/GPT2-DE-50k,3000,0.8716275021758051
xiulinyang/GPT2-AR-10k,0,0.582716049382716
xiulinyang/GPT2-AR-10k,100,0.6625514403292181
xiulinyang/GPT2-AR-10k,200,0.6757201646090535
xiulinyang/GPT2-AR-10k,300,0.6831275720164609
xiulinyang/GPT2-AR-10k,400,0.7160493827160493
xiulinyang/GPT2-AR-10k,500,0.7209876543209877
xiulinyang/GPT2-AR-10k,600,0.7086419753086419
xiulinyang/GPT2-AR-10k,700,0.7275720164609053
xiulinyang/GPT2-AR-10k,800,0.7144032921810699
xiulinyang/GPT2-AR-10k,900,0.7341563786008231
xiulinyang/GPT2-AR-10k,1000,0.7530864197530864
xiulinyang/GPT2-AR-10k,1100,0.7530864197530864
xiulinyang/GPT2-AR-10k,1200,0.7481481481481481
xiulinyang/GPT2-AR-10k,1300,0.7308641975308642
xiulinyang/GPT2-AR-10k,1400,0.7489711934156379
xiulinyang/GPT2-AR-10k,1500,0.7596707818930041
xiulinyang/GPT2-AR-10k,1600,0.757201646090535
xiulinyang/GPT2-AR-10k,1700,0.7366255144032922
xiulinyang/GPT2-AR-10k,1800,0.7662551440329218
xiulinyang/GPT2-AR-10k,1900,0.7473251028806585
xiulinyang/GPT2-AR-10k,2000,0.7539094650205761
xiulinyang/GPT2-AR-10k,2100,0.7728395061728395
xiulinyang/GPT2-AR-10k,2200,0.7720164609053498
xiulinyang/GPT2-AR-10k,2300,0.7530864197530864
xiulinyang/GPT2-AR-10k,2400,0.7670781893004115
xiulinyang/GPT2-AR-10k,2500,0.7679012345679013
xiulinyang/GPT2-AR-10k,2600,0.7728395061728395
xiulinyang/GPT2-AR-10k,2700,0.7670781893004115
xiulinyang/GPT2-AR-10k,2800,0.7670781893004115
xiulinyang/GPT2-AR-10k,2900,0.7662551440329218
xiulinyang/GPT2-AR-10k,3000,0.7547325102880659
